,type,2nd type,3rd type,Source Notes (things to know?),,,Investigated?,
BullionBullsCanada.com,conspiracy,,,"The ""one"" bank",,,,
burrardstreetjournal.com,satire,,,,,,,
buzzfeedusa.com,fake,rumor,,,buzzfeedusa,Infowars.com,FALSE,
bvanews.com,unreliable,bias,fake,seems like a combination of totally fake and unreliable reports of 'real' news,bvanews,IntelliHub.com,FALSE,
callthecops.net,satire,,,,callthecops,Inquisitr.com,TRUE,
canadafreepress.com,conspiracy,bias, ,,,,,
cap-news.com,fake, ,,,cap-news,JonesReport.com,FALSE,
cato.org/blog,political,reliable,,,,,,
cbsnews.com.co,fake,,,,,,,
celebtricity.com,satire,,,,celebtricity,LewRockwell.com,FALSE,
centerforsecuritypolicy.org,bias,conspiracy,,http://www.bbc.com/news/world-us-canada-35037943 ; ,,,,
channel-7-news.com,fake,,,,,,,
charismanews.com,bias,,,"minimal factual reporting despite being ""news'",,,,
chaser.com.au,satire,,,,chaser,LibertyTalk.fm,FALSE,
checkoutthehealthyworld.com,junksci,clickbait,,,,,,
chicksontheright.com,clickbait,bias,,,,,,
christianfightback.com,hate,bias,,,christianfightback,LibertyVideos.org,FALSE,
christianpost.com,reliable,political,,,,,,
christiantimesnewspaper.com,rumor,bias,fake,https://www.nytimes.com/2017/01/18/us/fake-news-hillary-clinton-cameron-harris.html?_r=1&mtrref=t.co&gwh=1CC9755BA757D7782D8A46A6F6FBF22E&gwt=pay,christiantimesnewspaper,LMR/LibertyMovementRadio.com,FALSE,
christwire.org,satire,,,,christwire,MediaMass.net,TRUE, 
chronicle.su,satire, ,,,chronicle,MegynKelly.us,FALSE,
chroniclesmagazine.org,political,,,"from what I gather, like the opposite of Jacobin (paleoconservative) ",,,,
citizensunited.org,bias,,,loaded language etc.,,,,
city-journal.org,political,,,,,,,
cityworldnews.com,fake,,,,cityworldnews,MSNBC.com.co,FALSE,
civictribune.com,fake,,,,civictribune,MSNBC.website,TRUE,
clashdaily.com,fake,conspiracy,bias,,,,,
clickhole.com,satire,,,,clickhole,NahaDaily,TRUE,
cnnnext.com,unreliable,,,basically an RT video channel,cnnnext,NationalReport,FALSE,
CNSNews.com,unreliable,bias,,The news arm of Media Research Center (a conservative org that is frequently criticized for use of selective evidence) ,,,,
coasttocoastam.com,unreliable,,,,coasttocoastam,NationalReport.net,TRUE,
collective-evolution.com,junksci,,,,collective-evolution,NaturalNews.com,FALSE,
collectivelyconscious.net,junksci,conspiracy,,,,,,
ComingDepression.com,unknown,,,website empty,,,,
commentarymagazine.com,political,,,,,,,
commondreams.org,political,clickbait,,,,,,
concisepolitics.com,conspiracy,hate,,,concisepolitics,NCScooper,FALSE,
consciouslifenews.com,junksci, ,,,consciouslifenews,NCT(NewCenturyTimes),TRUE,
conservapedia.com,bias, , ,,,,,
conservativebyte.com,fake,bias,,,,,,
