,language,type,notes
bbc.com,en,,
bostonglobe.com,en,,
chicagotribune.com,en,,
independent.co.uk,en,,
latimes.com,en,,
reuters.com,en,,
nature.com,en,,
newyorktimes.com,en,,
nydailynews.com,en,,
nytimes.com,en,,
oregonlive.com,en,,
phys.org,en,,
sltrib.com,en,,
scientificamerican.com,en,,
sfgate.com,en,,
slate.com,en,,
usatoday.com,en,,
washingtonpost.com,en,,
wsj.com,en,,
