,type,2nd type,3rd type,Source Notes (things to know?),,,,
sonsoflibertyradio.com,conspiracy,bias, unreliable,,,,,
SovereignMan.com,unreliable,,,,,,,
speld.nl,satire,,,,,,,
sportspickle.com,satire,,,,,,,
sputniknews.com,bias,state,fake,,,,,
stneotscitizen.com,satire,,,,,,,
stormcloudsgathering.com,fake,,,,,,,
stuppid.com,satire,,,,,,,
subjectpolitics.com,fake,bias,,,,,,
success-street.com,fake,clickbait,,http://success-street.com/2017/01/18/wow-obama-orders-life-sized-bronze-statute-permanently-installed-white-house/,,,,
supremepatriot.com,fake,bias,,,,,,
surrealscoop.com,satire,,,,,,,
theamericanindependent.wordpress.com,fake,bias,,,,,,
theantimedia.org,unreliable,bias,conspiracy,ex: http://theantimedia.org/cdc-admits-ebola-airborne/,,,,
thebeaverton.com,satire,,,,,,,
theblaze.com,political,clickbait,,,,,,
thebostontribune.com,fake,,,,,,,
thecommonsenseshow.com,fake,conspiracy,,,,,,
thecontroversialfiles.net,fake,clickbait, ,,,,,
thedailybeast.com,political,,,,,,,
thedailymash.co.uk,satire,,,,,,,
thedailysheeple.com,conspiracy,bias,,,,,,
thedailywtf.com,satire,,,,,,,
theduran.com,unreliable,,,,,,,
theeconomiccollapseblog.com,conspiracy,bias,,,,,,
theeventchronicle.com,conspiracy,junksci,clickbait,,,,,
TheExtinctionProtocol.com,conspiracy,,,,,,,
thefederalistpapers.org,bias,conspiracy, ,,,,,
thefifthcolumnnews.com,political,,,,,,,
theforbiddenknowledge.com,conspiracy,junksci,,,,,,
thefreepatriot.org,fake,bias,clickbait,,,,,
thefreethoughtproject.com,unreliable,conspiracy,clickbait,,,,,
thegatewaypundit.com,bias,conspiracy,unreliable,,,,,
thegoldandoilguy.com/articles,unreliable,,,,,,,
thehardtimes.net,satire,,,,,,,
theineptowl.com,satire,,,,,,,
theinformedamerican.net,unreliable,,,,,,,
thelastgreatstand.com,fake,conspiracy,bias,,,,,
thelibertybeacon.com,conspiracy,junksci,bias,,,,,
thelibertymill.com,unreliable,bias,conspiracy,,,,,
themadisonmisnomer.com,satire,,,,,,,
themindunleashed.com,conspiracy,junksci,clickbait,,,,,
themindunleashed.org,conspiracy,junksci,clickbait,,,,,
themuslimissue.wordpress.com,hate,conspiracy,,,,,,
thenewinquiry.com,unknown,,,,,,,
thenewsnerd.com,satire,,,,,,,
theonion.com,satire,,,,,,,
thephaser.com,conspiracy,,,,,,,
thepoke.co.uk,satire,,,,,,,
thepoliticalcesspool.com,unknown,hate,,website isn't loading,,,,
thepoliticalinsider.com,conspiracy,bias,unreliable,,,,,
theracketreport.com,fake,satire,,"I can't find disclaimers, but I think it's satirical ",,,,
therealstrategy.com,bias,conspiracy,hate,black lives matter content spews a lot of racist info,,,,
thereporterz.com,fake,,,,,,,
therightists.com,fake,bias,,publishes both biased and fake content,,,,
therightscoop.com,fake,clickbait,,"no authors, no history, no about us, unverifiable data, etc.",,,,
therightstuff.biz,hate,,,,,,,
theshovel.com.au,satire,,,,,,,
theskunk.org,satire,,,,,,,
thespoof.com,satire,,,,,,,
thestatelyharold.com,satire,,,,,,,
thetimesoftheworld.com,satire,,,,,,,
thetruthdivision.com,fake,bias,,,,,,
thetruthseeker.co.uk,fake,conspiracy,junksci,ex: NY orchestrated the asian tsunami in 2008!,,,,
theunrealtimes.com,satire,,,,,,,
theuspatriot.com,satire,fake,,,,,,
thevalleyreport.com,satire,,,,,,,
thewatchtowers.com,bias,conspiracy,clickbait,,,,,
threepercenternation.com,fake,conspiracy,bias,,,,,
topekasnews.com,satire,,,,,,,
topinfopost.com,clickbait,unreliable,conspiracy,,,,,
TrueActivist.com,clickbait,unreliable,,,,,,
truepundit.com,bias,clickbait,,,,,,
trumpvision365.com,fake,,,,,,,
truthandaction.org,bias,conspiracy,clickbait,,,,,
truthbroadcastnetwork.com,conspiracy,clickbait,,,,,,
truthfeed.com,hate,bias,conspiracy,,,,,
truthfrequencyradio.com,conspiracy, ,,,,,,
truthkings.com,bias,conspiracy,junksci,,,,,
truthrevolt.org,bias,hate,,,,,,
twitchy.com,clickbait,rumor,,,,,,
ufoholic.com,conspiracy,,,,,,,
unclesamsmisguidedchildren.com,bias,,,,,,,
unconfirmedsources.com,satire,,,,,,,
undergroundworldnews.com,fake,conspiracy,bias,,,,,
unitedmediapublishing.com,fake,,,,,,,
universepolitics.com,fake,,,http://www.politifact.com/punditfact/statements/2017/jan/03/universe-politics/fake-news-michigan-gop-elector-didnt-choose-suicid/,,,,
unz.com,bias,,,,,,,
us.blastingnews.com,satire,unreliable,,,,,,
usa2016elections.com,fake,,,no longer being updated,,,,
usadailypolitics.com,fake,,,,,,,
usadailytime.com,fake,,,"no satire disclaimer, http://usadailytime.com/breaking-mexico-closes-borders-usa-citizens/",,,,
usahitman.com,fake,conspiracy,,,,,,
usainfobox.com,fake,,,"can't find satire disclaimer, patently false",,,,
usamagazinestudio.com,fake,,,,,,,
usanewsflash.com,fake,bias,clickbait,,,,,
usanewsinsider.com,fake,bias,clickbait,,,,,
usanewspolitics.com,fake,,,,,,,
usaonlinepolitics.com,fake,clickbait,,no longer being updated,,,,
usaphase.com,fake,bias,,,,,,
usapoliticsdaily.com,unknown,,,redirects to huffington post,,,,
usapoliticsnow.com,fake,bias,,,,,,
usapoliticstoday.com,bias,unreliable,,,,,,
usapoliticus.com,unknown,,,website  down,,,,
usascan.com,unknown,,,website  down,,,,
usasupreme.com,fake, ,,,,,,
usatwentyfour.com,fake,,,,,,,
USAWatchdog.com,bias,,,,,,,
uschronicle.com,bias,conspiracy,hate,,,,,
usconservativetoday.com,fake,,,,,,,
usdefensewatch.com,unreliable,,,,,,,
usfanzone.com,fake,bias,,,,,,
ushealthyadvisor.com,fake,conspiracy,junksci,,,,,
usherald.com,bias,conspiracy,unreliable,,,,,
uslifetoday.com,clickbait,,,doesn't appear to be currently updated,,,,
uspoliticslive.com,fake,bias,conspiracy,,,,,
usuncut.com,clickbait,bias,unreliable,,,,,
usviewer.com,unreliable,fake, ,"basically copy/pastes parts of actual reuters stories, no authors listed or publication info",,,,
vdare.com,bias,hate,,,,,,
veteransnewsnow.com,unreliable,political,,"I read sample articles and didn't find inaccuracy, but the language is strong/loaded",,,,
veteranstoday.com,bias,unreliable,,,,,,
vigilantcitizen.com,fake,conspiracy,,,,,,
viralliberty.com,fake,bias,clickbait,,,,,
viraltube.nl,clickbait,,,,,,,
wakeupthesheep.com,conspiracy,,,,,,,
wakingtimes.com,junksci,,,,,,,
wakingupwisconsin.com,conspiracy, ,,,,,,
WallStreetOnParade.com,unreliable,,,mostly linking/commenting on both news and other sources.,,,,
washingtonexaminer.com,unreliable,bias,conspiracy,,,,,
washingtonsblog.com,bias,conspiracy,satire,Site notes it sometimes contains parody,,,,
waterfordwhispersnews.com,satire,,,,,,,
wealthcycles.com,unknown,,, ,,,,
wealthwire.com,unknown,,,,,,,
wearechange.org,bias,conspiracy,,,,,,
weaselzippers.us,unreliable,bias,,copies/pastes quotes/bits from news orgs and other questionable sites,,,,
webdaily.com,fake,conspiracy,bias,,,,,
weeklystandard.com,political,bias,,,,,,
weeklyworldnews.com,fake,rumor,clickbait,pretty well known tabloid/fake news source,,,,
weshapelife.org,conspiracy,junksci,,,,,,
westernjournalism.com,bias,clickbait,,,,,,
whatdoesitmean.com,conspiracy,,,,,,,
whatreallyhappened.com,conspiracy,rumor,,,,,,
whitepower.com,hate,conspiracy,bias,,,,,
whowhatwhy.com,unreliable,,,,,,,
whowhatwhy.org,conspiracy,,,9/11 = FBI coverup,,,,
whydontyoutrythis.com,junksci,rumor,,,,,,
WideAwakeNews.com,unknown,,,now leads to a website about pizza,,,,
wikileaks.com,unknown, , ,,,,,
wikileaks.org,unknown, ,,analyzing this info is likely beyond the scope of our project at this time. but I vote to leave it on the list to see how Wikileaks info unfolds in the future ,,,,
wikispooks.com,conspiracy,,,,,,,
WilliamBanzai7.blogspot.com,satire,,,,,,,
Willyloman.wordpress.com,conspiracy,,,,,,,
winkprogress.com,satire,,,,,,,
winningdemocrats.com,bias,unreliable, ,,,,,
witscience.org,satire,,,,,,,
wnd.com,bias,clickbait,unreliable,,,,,
WolfStreet.com,unreliable,,,,,,,
wonkie.com,satire,,,,,,,
world24monitor.com,unknown,,,"As far as I can tell, one person just writes up new versions of actual news stories. ",,,,
worldcallyoutoday.com,unknown,,,seems like the beginnings of a website?,,,,
worlddaily.info,unknown,,,website down,,,,
worldnewsdailyreport.com,satire,,,,,,,
worldnewspolitics.com,bias,,,,,,,
worldpoliticsus.com,fake,,,website down,,,,
worldrumor.com,fake,,,no longer being updated?,,,,
worldstoriestoday.com,fake,,,no longer being updated?,,,,
worldtruth.tv,conspiracy,junksci,,,,,,
worldwidehealthy.com,junksci,clickbait,,,,,,
wtoe5news.com,fake,satire,,https://web.archive.org/web/20161115024211/http://wtoe5news.com/us-election/pope-francis-shocks-world-endorses-donald-trump-for-president-releases-statement/,,,,
wundergroundmusic.com,satire,,,,,,,
www.rt.com,state,,,,,,,
X22Report.com,conspiracy,,,website down,,,,
yellowhammernews.com,political,,,,,,,
yesimright.com,fake,bias,,,,,,
Youngcons.com,bias,unreliable,,,,,,
yourfunpage.com,fake,,,mostly links to rando YT videos,,,,
yournationnews.com,clickbait,,,,,,,
YourNewsline.wordpress.com,unknown,,,website down,,,,
yournewswire.com,clickbait,junksci,,,,,,
zaytung.com,unknown,,,in Turkish,,,,
Zengardner.com,unknown,,,website down,,,,
zerohedge.com,conspiracy,,,,,,,
zootfeed.com,conspiracy,,,,,,,
